======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATIONS
======================================================================
You can reach key global markets early in the day with FedEx
International First. Delivery is in 1, 2 or 3 business days to
select postal codes. Ship packages up to 150 lbs. (unlimited total
shipment weight). See below for a complete list of the cities
and postal codes served, and our delivery commitment time. For
service details, see FedEx International First in Our Services.

Delivery is available outbound from the U.S. to:
Australia          England             Mexico
Austria            France              Netherlands
Belgium            Germany             Puerto Rico
Brazil             India               Singapore
Canada             Italy               Spain
China              Japan               Switzerland
Denmark            Luxembourg



======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATION POSTAL CODES
======================================================================

Effective: October 2, 2012
City                                              Postal Code                                   Del. By

BRAMPTON                                          L6W4R1                                        10:00am
BRAMPTON                                          L6W4S4                                        10:00am
BRAMPTON                                          L6W4S6                                        10:00am
BRAMPTON                                          L6W4T4                                        10:00am
BRAMPTON                                          L6W4V1                                        10:00am
BRAMPTON                                          L6W5                                          10:00am
BRAMPTON                                          L6W6                                          10:00am
BRAMPTON                                          L6W7                                          10:00am
BRAMPTON                                          L6W8                                          10:00am
BRAMPTON                                          L6W9                                          10:00am
MISSISSAUGA                                       L4T0                                          10:00am
MISSISSAUGA                                       L4T1                                          10:00am
MISSISSAUGA                                       L4T1L2                                        10:00am
MISSISSAUGA                                       L4T2                                          10:00am
MISSISSAUGA                                       L4T3                                          10:00am
MISSISSAUGA                                       L4T3B5                                        10:00am
